"","Region","State"
"838","Le Flore County","Oklahoma"
"839","Le Sueur County","Minnesota"
"840","Lea County","New Mexico"
"841","Leake County","Mississippi"
"842","Leavenworth County","Kansas"
"843","Lebanon County","Pennsylvania"
"844","Lee County","Alabama"
"845","Leelanau County","Michigan"
"846","Leflore County","Mississippi"
"847","Lehigh County","Pennsylvania"
"848","Lemhi County","Idaho"
"849","Lenawee County","Michigan"
"850","Lenoir County","North Carolina"
"851","Leon County","Florida"
"852","Letcher County","Kentucky"
"853","Levy County","Florida"
"854","Lewis and Clark County","Montana"
"855","Lewis County","Kentucky"
"856","Lexington city","Virginia"
"857","Lexington County","South Carolina"
"858","Liberty County","Florida"
"859","Licking County","Ohio"
"860","Limestone County","Alabama"
"861","Lincoln County","Arkansas"
"862","Linn County","Iowa"
"863","Litchfield County","Connecticut"
"864","Little River County","Arkansas"
"865","Live Oak County","Texas"
"866","Livingston County","Illinois"
"867","Llano County","Texas"
"868","Logan County","Arkansas"
"869","Long County","Georgia"
"870","Lonoke County","Arkansas"
"871","Lorain County","Ohio"
"872","Los Alamos County","New Mexico"
"873","Los Angeles County","California"
"874","Loudon County","Tennessee"
"875","Loudoun County","Virginia"
"876","Louisa County","Iowa"
"877","Love County","Oklahoma"
"878","Loving County","Texas"
"879","Lowndes County","Alabama"
"880","Lubbock County","Texas"
"881","Lucas County","Iowa"
"882","Luce County","Michigan"
"883","Lumpkin County","Georgia"
"884","Luna County","New Mexico"
"885","Lunenburg County","Virginia"
"886","Luzerne County","Pennsylvania"
"887","Lycoming County","Pennsylvania"
"888","Lynchburg city","Virginia"
"889","Lynn County","Texas"
"890","Lyon County","Iowa"
"891","Mackinac County","Michigan"
"892","Macomb County","Michigan"
"893","Macon County","Alabama"
"894","Macoupin County","Illinois"
"895","Madera County","California"
"896","Madison County","Alabama"
"897","Mahaska County","Iowa"
"898","Mahnomen County","Minnesota"
"899","Mahoning County","Ohio"
"900","Major County","Oklahoma"
"901","Malheur County","Oregon"
"902","Manassas city","Virginia"
"903","Manassas Park city","Virginia"
"904","Manatee County","Florida"
"905","Manistee County","Michigan"
"906","Manitowoc County","Wisconsin"
"907","Marathon County","Wisconsin"
"908","Marengo County","Alabama"
"909","Maricopa County","Arizona"
"910","Maries County","Missouri"
"911","Marin County","California"
"912","Marinette County","Wisconsin"
"913","Marion County","Alabama"
"914","Mariposa County","California"
"915","Marlboro County","South Carolina"
"916","Marquette County","Michigan"
"917","Marshall County","Alabama"
"918","Martin County","Florida"
"919","Martinsville city","Virginia"
"920","Mason County","Illinois"
"921","Massac County","Illinois"
"922","Matagorda County","Texas"
"923","Mathews County","Virginia"
"924","Maui County","Hawaii"
"925","Maury County","Tennessee"
"926","Maverick County","Texas"
"927","Mayes County","Oklahoma"
"928","McClain County","Oklahoma"
"929","McCook County","South Dakota"
"930","McCormick County","South Carolina"
"931","McCracken County","Kentucky"
"932","McCreary County","Kentucky"
"933","McCulloch County","Texas"
"934","McCurtain County","Oklahoma"
"935","McDonald County","Missouri"
"936","McDonough County","Illinois"
"937","McDowell County","North Carolina"
"938","McDuffie County","Georgia"
"939","McHenry County","Illinois"
"940","McIntosh County","Georgia"
"941","McKean County","Pennsylvania"
"942","McKenzie County","North Dakota"
"943","McKinley County","New Mexico"
"944","McLean County","Illinois"
"945","McLennan County","Texas"
"946","McLeod County","Minnesota"
"947","McMinn County","Tennessee"
"948","McMullen County","Texas"
"949","McNairy County","Tennessee"
"950","McPherson County","Kansas"
"951","Meade County","Kentucky"
"952","Mecklenburg County","North Carolina"
"953","Mecosta County","Michigan"
"954","Medina County","Ohio"
"955","Meeker County","Minnesota"
"956","Meigs County","Ohio"
"957","Menard County","Illinois"
"958","Mendocino County","California"
"959","Menifee County","Kentucky"
"960","Menominee County","Michigan"
"961","Merced County","California"
"962","Mercer County","Illinois"
"963","Meriwether County","Georgia"
"964","Merrick County","Nebraska"
"965","Merrimack County","New Hampshire"
"966","Mesa County","Colorado"
"967","Metcalfe County","Kentucky"
"968","Miami County","Indiana"
"969","Miami-Dade County","Florida"
"970","Middlesex County","Connecticut"
"971","Midland County","Michigan"
"972","Mifflin County","Pennsylvania"
"973","Milam County","Texas"
"974","Millard County","Utah"
"975","Mille Lacs County","Minnesota"
"976","Miller County","Arkansas"
"977","Mills County","Iowa"
"978","Milwaukee County","Wisconsin"
"979","Mineral County","Montana"
"980","Mingo County","West Virginia"
"981","Minidoka County","Idaho"
"982","Minnehaha County","South Dakota"
"983","Missaukee County","Michigan"
"984","Mississippi County","Arkansas"
"985","Missoula County","Montana"
"986","Mitchell County","Georgia"
"987","Mobile County","Alabama"
"988","Modoc County","California"
"989","Moffat County","Colorado"
"990","Mohave County","Arizona"
"991","Moniteau County","Missouri"
"992","Monmouth County","New Jersey"
"993","Mono County","California"
"994","Monona County","Iowa"
"995","Monongalia County","West Virginia"
"996","Monroe County","Alabama"
"997","Montague County","Texas"
"998","Montcalm County","Michigan"
"999","Monterey County","California"
"1000","Montezuma County","Colorado"
"1001","Montgomery County","Alabama"
"1002","Montmorency County","Michigan"
"1003","Montour County","Pennsylvania"
"1004","Montrose County","Colorado"
"1005","Moody County","South Dakota"
"1006","Moore County","North Carolina"
"1007","Morehouse County","Louisiana"
"1008","Morgan County","Alabama"
"1009","Morrill County","Nebraska"
"1010","Morris County","Kansas"
"1011","Morrison County","Minnesota"
"1012","Morrow County","Ohio"
"1013","Morton County","North Dakota"
"1014","Moultrie County","Illinois"
"1015","Mountrail County","North Dakota"
"1016","Mower County","Minnesota"
"1017","Muhlenberg County","Kentucky"
"1018","Multnomah County","Oregon"
"1019","Murray County","Georgia"
"1020","Muscatine County","Iowa"
"1021","Muscogee County","Georgia"
"1022","Muskegon County","Michigan"
"1023","Muskingum County","Ohio"
"1024","Muskogee County","Oklahoma"
"1025","Nacogdoches County","Texas"
"1026","Nantucket County","Massachusetts"
"1027","Napa County","California"
"1028","Nash County","North Carolina"
"1029","Nassau County","Florida"
"1030","Natchitoches County","Louisiana"
"1031","Natrona County","Wyoming"
"1032","Navajo County","Arizona"
"1033","Navarro County","Texas"
"1034","Nelson County","Kentucky"
"1035","Nemaha County","Kansas"
"1036","Neosho County","Kansas"
"1037","Neshoba County","Mississippi"
"1038","Nevada County","Arkansas"
"1039","New Castle County","Delaware"
"1040","New Hanover County","North Carolina"
"1041","New Haven County","Connecticut"
"1042","New Kent County","Virginia"
"1043","New London County","Connecticut"
"1044","New Madrid County","Missouri"
"1045","New York County","New York"
"1046","Newaygo County","Michigan"
"1047","Newberry County","South Carolina"
"1048","Newport County","Rhode Island"
"1049","Newport News city","Virginia"
"1050","Newton County","Arkansas"
"1051","Nez Perce County","Idaho"
"1052","Niagara County","New York"
"1053","Nicholas County","Kentucky"
"1054","Nicollet County","Minnesota"
"1055","Noble County","Indiana"
"1056","Nobles County","Minnesota"
"1057","Nodaway County","Missouri"
"1058","Nolan County","Texas"
"1059","Norfolk city","Virginia"
"1060","Norfolk County","Massachusetts"
"1061","Norman County","Minnesota"
"1062","Northampton County","North Carolina"
"1063","Northumberland County","Pennsylvania"
"1064","Norton city","Virginia"
"1065","Nottoway County","Virginia"
"1066","Nowata County","Oklahoma"
"1067","Noxubee County","Mississippi"
"1068","Nueces County","Texas"
"1069","Nye County","Nevada"
"1070","Oakland County","Michigan"
"1071","Obion County","Tennessee"
"1072","Ocean County","New Jersey"
"1073","Oceana County","Michigan"
"1074","Ochiltree County","Texas"
"1075","Oconee County","Georgia"
"1076","Oconto County","Wisconsin"
"1077","Ogemaw County","Michigan"
"1078","Ogle County","Illinois"
"1079","Oglethorpe County","Georgia"
"1080","Ohio County","Indiana"
"1081","Okaloosa County","Florida"
"1082","Okanogan County","Washington"
"1083","Okeechobee County","Florida"
"1084","Okfuskee County","Oklahoma"
"1085","Oklahoma County","Oklahoma"
"1086","Okmulgee County","Oklahoma"
"1087","Oktibbeha County","Mississippi"
"1088","Oldham County","Kentucky"
"1089","Olmsted County","Minnesota"
"1090","Oneida County","Idaho"
"1091","Onondaga County","New York"
"1092","Onslow County","North Carolina"
"1093","Ontario County","New York"
"1094","Ontonagon County","Michigan"
"1095","Orange County","California"
"1096","Orangeburg County","South Carolina"
"1097","Oregon County","Missouri"
"1098","Orleans County","Louisiana"
"1099","Osage County","Kansas"
"1100","Osceola County","Florida"
"1101","Oscoda County","Michigan"
"1102","Oswego County","New York"
"1103","Otero County","Colorado"
"1104","Otoe County","Nebraska"
"1105","Otsego County","Michigan"
"1106","Ottawa County","Kansas"
"1107","Otter Tail County","Minnesota"
"1108","Ouachita County","Arkansas"
"1109","Ouray County","Colorado"
"1110","Outagamie County","Wisconsin"
"1111","Overton County","Tennessee"
"1112","Owen County","Indiana"
"1113","Owyhee County","Idaho"
"1114","Oxford County","Maine"
"1115","Ozark County","Missouri"
"1116","Ozaukee County","Wisconsin"
"1117","Pacific County","Washington"
"1118","Page County","Iowa"
"1119","Palm Beach County","Florida"
"1120","Palo Alto County","Iowa"
"1121","Palo Pinto County","Texas"
"1122","Pamlico County","North Carolina"
"1123","Panola County","Mississippi"
"1124","Park County","Colorado"
"1125","Parke County","Indiana"
"1126","Parker County","Texas"
"1127","Parmer County","Texas"
"1128","Pasco County","Florida"
"1129","Pasquotank County","North Carolina"
"1130","Passaic County","New Jersey"
"1131","Patrick County","Virginia"
"1132","Paulding County","Georgia"
"1133","Pawnee County","Kansas"
"1134","Payette County","Idaho"
"1135","Payne County","Oklahoma"
"1136","Peach County","Georgia"
"1137","Pearl River County","Mississippi"
"1138","Pecos County","Texas"
"1139","Pembina County","North Dakota"
"1140","Pemiscot County","Missouri"
"1141","Pend Oreille County","Washington"
"1142","Pender County","North Carolina"
"1143","Pendleton County","Kentucky"
"1144","Pennington County","Minnesota"
"1145","Penobscot County","Maine"
"1146","Peoria County","Illinois"
"1147","Pepin County","Wisconsin"
"1148","Perquimans County","North Carolina"
"1149","Perry County","Alabama"
"1150","Pershing County","Nevada"
"1151","Person County","North Carolina"
"1152","Petersburg city","Virginia"
"1153","Pettis County","Missouri"
"1154","Phelps County","Missouri"
"1155","Philadelphia County","Pennsylvania"
"1156","Phillips County","Arkansas"
"1157","Piatt County","Illinois"
"1158","Pickaway County","Ohio"
"1159","Pickens County","Alabama"
"1160","Pierce County","Georgia"
"1161","Pike County","Alabama"
"1162","Pima County","Arizona"
"1163","Pinal County","Arizona"
"1164","Pine County","Minnesota"
"1165","Pinellas County","Florida"
"1166","Pipestone County","Minnesota"
"1167","Piscataquis County","Maine"
"1168","Pitkin County","Colorado"
"1169","Pitt County","North Carolina"
"1170","Pittsburg County","Oklahoma"
"1171","Pittsylvania County","Virginia"
"1172","Placer County","California"
"1173","Plaquemines County","Louisiana"
"1174","Platte County","Missouri"
"1175","Pleasants County","West Virginia"
"1176","Plumas County","California"
"1177","Plymouth County","Iowa"
"1178","Pocahontas County","Iowa"
"1179","Poinsett County","Arkansas"
"1180","Pointe Coupee County","Louisiana"
"1181","Polk County","Arkansas"
"1182","Pondera County","Montana"
"1183","Pontotoc County","Mississippi"
"1184","Pope County","Arkansas"
"1185","Poquoson city","Virginia"
"1186","Portage County","Ohio"
"1187","Porter County","Indiana"
"1188","Portsmouth city","Virginia"
"1189","Posey County","Indiana"
"1190","Pottawatomie County","Kansas"
"1191","Pottawattamie County","Iowa"
"1192","Potter County","Pennsylvania"
"1193","Powell County","Kentucky"
"1194","Power County","Idaho"
"1195","Poweshiek County","Iowa"
"1196","Powhatan County","Virginia"
"1197","Prairie County","Arkansas"
"1198","Pratt County","Kansas"
"1199","Preble County","Ohio"
"1200","Prentiss County","Mississippi"
"1201","Presidio County","Texas"
"1202","Presque Isle County","Michigan"
"1203","Preston County","West Virginia"
"1204","Price County","Wisconsin"
"1205","Prince Edward County","Virginia"
"1206","Prince George County","Virginia"
"1207","Prince William County","Virginia"
"1208","Providence County","Rhode Island"
"1209","Prowers County","Colorado"
"1210","Pueblo County","Colorado"
"1211","Pulaski County","Arkansas"
"1212","Pushmataha County","Oklahoma"
"1213","Putnam County","Florida"
"1214","Quay County","New Mexico"
"1215","Queens County","New York"
"1216","Quitman County","Mississippi"
"1217","Rabun County","Georgia"
"1218","Racine County","Wisconsin"
"1219","Radford city","Virginia"
"1220","Rains County","Texas"
"1221","Raleigh County","West Virginia"
"1222","Ralls County","Missouri"
"1223","Ramsey County","Minnesota"
"1224","Randall County","Texas"
"1225","Randolph County","Alabama"
"1226","Rankin County","Mississippi"
"1227","Ransom County","North Dakota"
"1228","Rapides County","Louisiana"
"1229","Rappahannock County","Virginia"
"1230","Ravalli County","Montana"
"1231","Ray County","Missouri"
"1232","Reagan County","Texas"
"1233","Red River County","Louisiana"
"1234","Red Willow County","Nebraska"
"1235","Redwood County","Minnesota"
"1236","Reeves County","Texas"
"1237","Refugio County","Texas"
"1238","Reno County","Kansas"
"1239","Rensselaer County","New York"
"1240","Renville County","Minnesota"
"1241","Rhea County","Tennessee"
"1242","Rice County","Kansas"
"1243","Richardson County","Nebraska"
"1244","Richland County","Illinois"
"1245","Richmond city","Virginia"
"1246","Richmond County","Georgia"
"1247","Riley County","Kansas"
"1248","Rio Arriba County","New Mexico"
"1249","Rio Blanco County","Colorado"
"1250","Rio Grande County","Colorado"
"1251","Ripley County","Indiana"
"1252","Ritchie County","West Virginia"
"1253","Riverside County","California"
"1254","Roane County","Tennessee"
"1255","Roanoke city","Virginia"
"1256","Roanoke County","Virginia"
"1257","Roberts County","South Dakota"
"1258","Robertson County","Tennessee"
"1259","Robeson County","North Carolina"
"1260","Rock County","Minnesota"
"1261","Rock Island County","Illinois"
"1262","Rockbridge County","Virginia"
"1263","Rockcastle County","Kentucky"
"1264","Rockdale County","Georgia"
"1265","Rockingham County","New Hampshire"
"1266","Rockland County","New York"
"1267","Rockwall County","Texas"
"1268","Rogers County","Oklahoma"
"1269","Rolette County","North Dakota"
"1270","Roosevelt County","Montana"
"1271","Roscommon County","Michigan"
"1272","Roseau County","Minnesota"
"1273","Rosebud County","Montana"
"1274","Ross County","Ohio"
"1275","Routt County","Colorado"
"1276","Rowan County","Kentucky"
"1277","Runnels County","Texas"
"1278","Rush County","Indiana"
"1279","Rusk County","Texas"
"1280","Russell County","Alabama"
"1281","Rutherford County","North Carolina"
"1282","Rutland County","Vermont"
"1283","Sabine County","Louisiana"
"1284","Sac County","Iowa"
"1285","Sacramento County","California"
"1286","Sagadahoc County","Maine"
"1287","Saginaw County","Michigan"
"1288","Saguache County","Colorado"
"1289","Salem city","Virginia"
"1290","Salem County","New Jersey"
"1291","Saline County","Arkansas"
"1292","Salt Lake County","Utah"
"1293","Saluda County","South Carolina"
"1294","Sampson County","North Carolina"
"1295","San Augustine County","Texas"
"1296","San Benito County","California"
"1297","San Bernardino County","California"
"1298","San Diego County","California"
"1299","San Francisco County","California"
"1300","San Jacinto County","Texas"
"1301","San Joaquin County","California"
"1302","San Juan County","New Mexico"
"1303","San Luis Obispo County","California"
"1304","San Mateo County","California"
"1305","San Miguel County","Colorado"
"1306","San Patricio County","Texas"
"1307","San Saba County","Texas"
"1308","Sanders County","Montana"
"1309","Sandoval County","New Mexico"
"1310","Sandusky County","Ohio"
"1311","Sangamon County","Illinois"
"1312","Sanilac County","Michigan"
"1313","Sanpete County","Utah"
"1314","Santa Barbara County","California"
"1315","Santa Clara County","California"
"1316","Santa Cruz County","Arizona"
"1317","Santa Fe County","New Mexico"
"1318","Santa Rosa County","Florida"
"1319","Sarasota County","Florida"
"1320","Saratoga County","New York"
"1321","Sarpy County","Nebraska"
"1322","Sauk County","Wisconsin"
"1323","Saunders County","Nebraska"
"1324","Sawyer County","Wisconsin"
"1325","Schenectady County","New York"
"1326","Schley County","Georgia"
"1327","Schoharie County","New York"
"1328","Schoolcraft County","Michigan"
"1329","Schuyler County","Illinois"
"1330","Schuylkill County","Pennsylvania"
"1331","Scioto County","Ohio"
"1332","Scotland County","North Carolina"
"1333","Scott County","Arkansas"
"1334","Scotts Bluff County","Nebraska"
"1335","Screven County","Georgia"
"1336","Scurry County","Texas"
"1337","Searcy County","Arkansas"
"1338","Sebastian County","Arkansas"
"1339","Sedgwick County","Kansas"
"1340","Seminole County","Florida"
"1341","Seneca County","New York"
"1342","Sequatchie County","Tennessee"
"1343","Sequoyah County","Oklahoma"
"1344","Sevier County","Arkansas"
"1345","Seward County","Kansas"
"1346","Shannon County","Missouri"
"1347","Sharp County","Arkansas"
"1348","Shasta County","California"
"1349","Shawano County","Wisconsin"
"1350","Shawnee County","Kansas"
"1351","Sheboygan County","Wisconsin"
"1352","Shelby County","Alabama"
"1353","Shenandoah County","Virginia"
"1354","Sherburne County","Minnesota"
"1355","Sheridan County","Wyoming"
"1356","Sherman County","Kansas"
"1357","Shiawassee County","Michigan"
"1358","Shoshone County","Idaho"
"1359","Sibley County","Minnesota"
"1360","Sierra County","New Mexico"
"1361","Silver Bow County","Montana"
"1362","Simpson County","Kentucky"
"1363","Sioux County","Iowa"
"1364","Siskiyou County","California"
"1365","Skagit County","Washington"
"1366","Skamania County","Washington"
"1367","Smith County","Mississippi"
"1368","Smyth County","Virginia"
"1369","Snohomish County","Washington"
"1370","Snyder County","Pennsylvania"
"1371","Socorro County","New Mexico"
"1372","Solano County","California"
"1373","Somerset County","Maine"
"1374","Somervell County","Texas"
"1375","Sonoma County","California"
"1376","Southampton County","Virginia"
"1377","Spalding County","Georgia"
"1378","Spartanburg County","South Carolina"
"1379","Spencer County","Indiana"
"1380","Spink County","South Dakota"
"1381","Spokane County","Washington"
"1382","Spotsylvania County","Virginia"
"1383","St. Charles County","Missouri"
"1384","St. Clair County","Alabama"
"1385","St. Croix County","Wisconsin"
"1386","St. Francis County","Arkansas"
"1387","St. Francois County","Missouri"
"1388","St. Johns County","Florida"
"1389","St. Joseph County","Indiana"
"1390","St. Lawrence County","New York"
"1391","St. Louis County","Minnesota"
"1392","St. Lucie County","Florida"
"1393","Stafford County","Virginia"
"1394","Stanislaus County","California"
"1395","Stanly County","North Carolina"
"1396","Stanton County","Nebraska"
"1397","Stark County","Illinois"
"1398","Starke County","Indiana"
"1399","Starr County","Texas"
"1400","Staunton city","Virginia"
"1401","Ste. Genevieve County","Missouri"
"1402","Stearns County","Minnesota"
"1403","Steele County","Minnesota"
"1404","Stephens County","Georgia"
"1405","Stephenson County","Illinois"
"1406","Steuben County","Indiana"
"1407","Stevens County","Kansas"
"1408","Stewart County","Tennessee"
"1409","Stillwater County","Montana"
"1410","Stoddard County","Missouri"
"1411","Stokes County","North Carolina"
"1412","Stone County","Arkansas"
"1413","Storey County","Nevada"
"1414","Story County","Iowa"
"1415","Strafford County","New Hampshire"
"1416","Stutsman County","North Dakota"
"1417","Sublette County","Wyoming"
"1418","Suffolk city","Virginia"
"1419","Suffolk County","Massachusetts"
"1420","Sullivan County","Indiana"
"1421","Summers County","West Virginia"
"1422","Summit County","Colorado"
"1423","Sumner County","Kansas"
"1424","Sumter County","Alabama"
"1425","Sunflower County","Mississippi"
"1426","Surry County","North Carolina"
"1427","Susquehanna County","Pennsylvania"
"1428","Sussex County","Delaware"
"1429","Sutter County","California"
"1430","Sutton County","Texas"
"1431","Suwannee County","Florida"
"1432","Swain County","North Carolina"
"1433","Sweetwater County","Wyoming"
"1434","Swift County","Minnesota"
"1435","Swisher County","Texas"
"1436","Switzerland County","Indiana"
"1437","Talbot County","Georgia"
"1438","Talladega County","Alabama"
"1439","Tallahatchie County","Mississippi"
"1440","Tallapoosa County","Alabama"
"1441","Tama County","Iowa"
"1442","Taney County","Missouri"
"1443","Tangipahoa County","Louisiana"
"1444","Taos County","New Mexico"
"1445","Tarrant County","Texas"
"1446","Tate County","Mississippi"
"1447","Tattnall County","Georgia"
"1448","Taylor County","Florida"
"1449","Tazewell County","Illinois"
"1450","Tehama County","California"
"1451","Telfair County","Georgia"
"1452","Teller County","Colorado"
"1453","Terrebonne County","Louisiana"
"1454","Terrell County","Georgia"
"1455","Terry County","Texas"
"1456","Teton County","Idaho"
"1457","Texas County","Missouri"
"1458","Thayer County","Nebraska"
"1459","Thomas County","Georgia"
"1460","Thurston County","Nebraska"
"1461","Tift County","Georgia"
"1462","Tillamook County","Oregon"
"1463","Tillman County","Oklahoma"
"1464","Tioga County","New York"
"1465","Tippah County","Mississippi"
"1466","Tippecanoe County","Indiana"
"1467","Tipton County","Indiana"
"1468","Tishomingo County","Mississippi"
"1469","Titus County","Texas"
"1470","Todd County","Kentucky"
"1471","Tolland County","Connecticut"
"1472","Tom Green County","Texas"
"1473","Tompkins County","New York"
"1474","Tooele County","Utah"
"1475","Toombs County","Georgia"
"1476","Torrance County","New Mexico"
"1477","Towns County","Georgia"
"1478","Traill County","North Dakota"
"1479","Transylvania County","North Carolina"
"1480","Travis County","Texas"
"1481","Trego County","Kansas"
"1482","Trempealeau County","Wisconsin"
"1483","Treutlen County","Georgia"
"1484","Trigg County","Kentucky"
"1485","Trimble County","Kentucky"
"1486","Trinity County","California"
"1487","Tripp County","South Dakota"
"1488","Troup County","Georgia"
"1489","Trousdale County","Tennessee"
"1490","Trumbull County","Ohio"
"1491","Tucker County","West Virginia"
"1492","Tulare County","California"
"1493","Tulsa County","Oklahoma"
"1494","Tunica County","Mississippi"
"1495","Tuolumne County","California"
"1496","Turner County","Georgia"
"1497","Tuscaloosa County","Alabama"
"1498","Tuscarawas County","Ohio"
"1499","Tuscola County","Michigan"
"1500","Twiggs County","Georgia"
"1501","Twin Falls County","Idaho"
"1502","Tyler County","Texas"
"1503","Uinta County","Wyoming"
"1504","Uintah County","Utah"
"1505","Ulster County","New York"
"1506","Umatilla County","Oregon"
"1507","Unicoi County","Tennessee"
"1508","Union County","Arkansas"
"1509","Upshur County","Texas"
"1510","Upson County","Georgia"
"1511","Upton County","Texas"
"1512","Utah County","Utah"
"1513","Uvalde County","Texas"
"1514","Val Verde County","Texas"
"1515","Valencia County","New Mexico"
"1516","Valley County","Idaho"
"1517","Van Buren County","Arkansas"
"1518","Van Wert County","Ohio"
"1519","Van Zandt County","Texas"
"1520","Vance County","North Carolina"
"1521","Vanderburgh County","Indiana"
"1522","Venango County","Pennsylvania"
"1523","Ventura County","California"
"1524","Vermilion County","Illinois"
"1525","Vermillion County","Indiana"
"1526","Vernon County","Louisiana"
"1527","Victoria County","Texas"
"1528","Vigo County","Indiana"
"1529","Vilas County","Wisconsin"
"1530","Vinton County","Ohio"
"1531","Virginia Beach city","Virginia"
"1532","Volusia County","Florida"
"1533","Wabash County","Illinois"
"1534","Wabasha County","Minnesota"
"1535","Wabaunsee County","Kansas"
"1536","Wadena County","Minnesota"
"1537","Wagoner County","Oklahoma"
"1538","Wake County","North Carolina"
"1539","Wakulla County","Florida"
"1540","Waldo County","Maine"
"1541","Walker County","Alabama"
"1542","Walla Walla County","Washington"
"1543","Waller County","Texas"
"1544","Wallowa County","Oregon"
"1545","Walsh County","North Dakota"
"1546","Walthall County","Mississippi"
"1547","Walton County","Florida"
"1548","Walworth County","South Dakota"
"1549","Wapello County","Iowa"
"1550","Ward County","North Dakota"
"1551","Ware County","Georgia"
"1552","Warren County","Georgia"
"1553","Warrick County","Indiana"
"1554","Wasatch County","Utah"
"1555","Wasco County","Oregon"
"1556","Waseca County","Minnesota"
"1557","Washakie County","Wyoming"
"1558","Washburn County","Wisconsin"
"1559","Washington County","Alabama"
"1560","Washita County","Oklahoma"
"1561","Washoe County","Nevada"
"1562","Washtenaw County","Michigan"
"1563","Watauga County","North Carolina"
"1564","Watonwan County","Minnesota"
"1565","Waukesha County","Wisconsin"
"1566","Waupaca County","Wisconsin"
"1567","Waushara County","Wisconsin"
"1568","Wayne County","Georgia"
"1569","Waynesboro city","Virginia"
"1570","Weakley County","Tennessee"
"1571","Webb County","Texas"
"1572","Weber County","Utah"
"1573","Webster County","Iowa"
"1574","Weld County","Colorado"
"1575","Wells County","Indiana"
"1576","West Baton Rouge County","Louisiana"
"1577","West Carroll County","Louisiana"
"1578","West Feliciana County","Louisiana"
"1579","Westchester County","New York"
"1580","Westmoreland County","Pennsylvania"
"1581","Weston County","Wyoming"
"1582","Wetzel County","West Virginia"
"1583","Wexford County","Michigan"
"1584","Wharton County","Texas"
"1585","Whatcom County","Washington"
"1586","Wheeler County","Texas"
"1587","White County","Arkansas"
"1588","White Pine County","Nevada"
"1589","Whiteside County","Illinois"
"1590","Whitfield County","Georgia"
"1591","Whitley County","Indiana"
"1592","Whitman County","Washington"
"1593","Wichita County","Texas"
"1594","Wicomico County","Maryland"
"1595","Wilbarger County","Texas"
"1596","Wilcox County","Alabama"
"1597","Wilkes County","Georgia"
"1598","Wilkin County","Minnesota"
"1599","Wilkinson County","Georgia"
"1600","Will County","Illinois"
"1601","Willacy County","Texas"
"1602","Williams County","North Dakota"
"1603","Williamsburg city","Virginia"
"1604","Williamsburg County","South Carolina"
"1605","Williamson County","Illinois"
"1606","Wilson County","Kansas"
"1607","Winchester city","Virginia"
"1608","Windham County","Connecticut"
"1609","Windsor County","Vermont"
"1610","Winkler County","Texas"
"1611","Winn County","Louisiana"
"1612","Winnebago County","Illinois"
"1613","Winneshiek County","Iowa"
"1614","Winona County","Minnesota"
"1615","Winston County","Alabama"
"1616","Wise County","Texas"
"1617","Wood County","Ohio"
"1618","Woodbury County","Iowa"
"1619","Woodford County","Illinois"
"1620","Woods County","Oklahoma"
"1621","Woodward County","Oklahoma"
"1622","Worcester County","Maryland"
"1623","Worth County","Georgia"
"1624","Wright County","Iowa"
"1625","Wyandot County","Ohio"
"1626","Wyandotte County","Kansas"
"1627","Wyoming County","New York"
"1628","Wythe County","Virginia"
"1629","Yadkin County","North Carolina"
"1630","Yakima County","Washington"
"1631","Yalobusha County","Mississippi"
"1632","Yamhill County","Oregon"
"1633","Yancey County","North Carolina"
"1634","Yankton County","South Dakota"
"1635","Yates County","New York"
"1636","Yavapai County","Arizona"
"1637","Yazoo County","Mississippi"
"1638","Yell County","Arkansas"
"1639","Yellow Medicine County","Minnesota"
"1640","Yellowstone County","Montana"
"1641","Yoakum County","Texas"
"1642","Yolo County","California"
"1643","York County","Maine"
"1644","Young County","Texas"
"1645","Yuba County","California"
"1646","Yuma County","Arizona"
"1647","Zapata County","Texas"
"1648","Zavala County","Texas"
